,,,,,,,,,,,,,,
,BUDSJETT OG RESULTAT 2024 - KONTOPLAN,,,,,,,,,,,,,
,Balanse,Januar,Februar,Mars,April,Mai,Juni,Juli,August,September,Oktober,November,Desember,Totalt
,Budsjett,kr 19 700,kr 8 600,−kr 3 075,−kr 1 575,kr 1 125,kr 49 725,−kr 22 075,kr 16 625,kr 24 325,kr 5 325,−kr 4 775,kr 22 425,kr 116 350
,Resultat,kr 35 640,kr 27 579,kr 28 132,kr 31 249,kr 26 556,kr 56 257,kr 2 283,kr 9 838,kr 12 037,kr 13 920,kr 22 978,kr 29 085,kr 295 554
,Differanse,kr 15 940,kr 18 979,kr 31 207,kr 32 824,kr 25 431,kr 6 532,kr 24 358,−kr 6 787,−kr 12 288,kr 8 595,kr 27 753,kr 6 660,kr 179 204
,Inntekter,Januar,Februar,Mars,April,Mai,Juni,Juli,August,September,Oktober,November,Desember,Totalt
,Lønn,,,,,,,,,,,,,
,Budsjett,kr 52 000,kr 52 000,kr 52 000,kr 52 000,kr 52 000,kr 80 000,kr 52 000,kr 52 000,kr 52 000,kr 52 000,kr 52 000,kr 70 000,kr 670 000
,Resultat,kr 55 615,kr 55 615,kr 55 615,kr 55 615,kr 53 051,kr 104 571,kr 53 051,kr 53 051,kr 53 051,kr 53 051,kr 58 249,kr 70 054,kr 720 589
,Differanse,kr 3 615,kr 3 615,kr 3 615,kr 3 615,kr 1 051,kr 24 571,kr 1 051,kr 1 051,kr 1 051,kr 1 051,kr 6 249,kr  54,kr 50 589
,Diverse inntekter,,,,,,,,,,,,,
,Budsjett,kr  0,kr  0,kr 3 000,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr 3 000
,Resultat,kr 2 757,kr 1 187,kr  0,kr 1 850,kr  0,kr 2 897,kr 3 000,kr  0,kr  0,kr  0,,kr  0,kr 11 691
,Differanse,kr 2 757,kr 1 187,−kr 3 000,kr 1 850,kr  0,kr 2 897,kr 3 000,kr  0,kr  0,kr  0,kr  0,kr  0,kr 8 691
,Utgifter,Januar,Februar,Mars,April,Mai,Juni,Juli,August,September,Oktober,November,Desember,Totalt
,Stronghold,,,,,,,,,,,,,
,Budsjett,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 17 000,kr 204 000
,Resultat,kr 16 077,kr 17 216,kr 14 763,kr 14 390,kr 14 486,kr 13 974,kr 13 915,kr 18 148,kr 14 417,kr 15 285,kr 16 584,kr 15 546,kr 184 801
,IT-systemer,,,,,,,,,,,,,
,Budsjett,kr 3 000,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr 3 000,kr 12 000,kr  0,kr 18 000
,Resultat,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr  0,kr 8 640,kr  0,kr  304,kr  0,kr  0,kr 8 944
,Digitale tjenester,,,,,,,,,,,,,
,Budsjett,kr 1 100,kr  900,kr 1 300,kr 1 000,kr  900,kr 1 500,kr 1 300,kr  900,kr  900,kr 1 900,kr 1 000,kr  800,kr 13 500
,Resultat,kr  948,kr  843,kr  602,kr 1 581,kr  711,kr  950,kr  858,kr 1 349,kr  711,kr 2 042,kr 1 008,kr 1 434,kr 13 037
,Autos,,,,,,,,,,,,,
,Budsjett,kr  0,kr  0,kr  0,kr  0,kr  200,kr 3 000,kr 3 000,kr 3 000,kr 3 000,kr 3 000,kr 3 000,kr 3 000,kr 21 200
,Resultat,kr  0,kr  0,kr 1 000,kr 1 000,kr 1 160,kr 5 100,kr 3 000,kr 3 000,kr 3 000,kr 13 000,kr 3 000,kr 3 000,kr 36 260
,Klær og helse,,,,,,,,,,,,,
,Budsjett,kr 3 000,kr 3 000,kr 3 000,kr 2 800,kr 2 000,kr  0,kr  0,kr  700,kr 1 000,kr 2 000,kr  500,kr 2 000,kr 20 000
,Resultat,kr  0,kr  700,kr  357,kr  0,kr 2 541,kr  685,kr  0,kr 3 259,kr  0,kr  0,kr  700,kr  476,kr 8 718
,Sport,,,,,,,,,,,,,
,Budsjett,kr 4 000,kr 11 000,kr 30 000,kr 20 000,kr 20 000,kr  0,kr  0,kr 4 000,kr 3 000,kr 2 000,kr 5 000,kr 1 000,kr 100 000
,Resultat,kr  306,kr  0,kr 6 368,kr 2 784,kr 1 699,kr 8 911,kr  0,kr 1 616,kr 9 144,kr  0,kr 4 212,kr 9 556,kr 44 596
,Reiser,,,,,,,,,,,,,
,Budsjett,kr 2 000,kr 2 000,kr 2 000,kr 2 000,kr 4 000,kr 2 000,kr 50 000,kr 5 000,kr  0,kr 15 000,kr 15 000,kr 10 000,kr 109 000
,Resultat,kr 2 931,kr 2 070,kr  470,kr 1 443,kr  754,kr 17 490,kr 32 521,kr  0,kr 10 789,kr 3 171,kr 2 092,kr  0,kr 73 731
,Sparetiltak,,,,,,,,,,,,,
,Budsjett,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 12 000
,Resultat,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 1 000,kr 12 000
,Blu A,,,,,,,,,,,,,
,Budsjett,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr 6 000
,Resultat,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr  500,kr 6 000
,Camp Beito,,,,,,,,,,,,,
,Budsjett,kr  0,kr 6 000,kr  275,kr  275,kr  275,kr  275,kr  275,kr  275,kr  275,kr  275,kr  275,kr  275,kr 8 750
,Resultat,kr  0,kr 5 776,kr  275,kr  275,kr  275,kr  275,kr  275,kr  500,kr  974,kr  500,kr  500,kr  500,kr 10 125
,Diverse utgifter,,,,,,,,,,,,,
,Budsjett,kr  700,kr 2 000,kr 3 000,kr 9 000,kr 5 000,kr 5 000,kr 1 000,kr 3 000,kr 1 000,kr 1 000,kr 1 500,kr 12 000,kr 44 200
,Resultat,kr  970,kr 1 118,kr 2 148,kr 3 243,kr 3 369,kr 2 326,kr 1 699,kr 5 201,kr  479,kr 3 329,kr 5 675,kr 8 957,kr 38 514
,,,,,,,,,,,,,,
,"Budsjettet tar høyde for en ytterligere renteøkning, fortsatt høye strømpriser og strømstøtte. Kostnader på sport forventes halvert fra 2023, selv om det skal investeres i ny bysykkel. Høyere kostnader på IT forventes dette året som følge av oppgradering til RPI5 og ny telefon, samt muligens abonnement på store språkmodeller. Foretatt ekstra innbetaling på 200.000 til rammelån i februar. XSRotte solgt for 18.000 i mai (tilbakesalg Oslo Scooter Central). Kjøpt Hyundai Kona med Ane, eierskap og lån delt på to. Min cut 50% av 468.000. Månedlige utgifter på 3000 kan forventes fremover (både lån og drift). ",,,,,,,,,,,,,
